device,total_events,medium_count,major_count,first_date,last_date,interval_mean_days,interval_std_days,interval_min_days,interval_max_days,medium_interval_mean,medium_interval_std,major_interval_mean,major_interval_std,medium_between_major,chi2_seasonality,peak_month,trough_month
A1,12,10,2,2024-05-18,2026-03-07,59.81818181818182,10.028142218957425,47.0,78.0,59.55555555555556,11.181582078479671,61.0,1.4142135623730951,4.0,6.0,1,2
A2,12,9,3,2024-06-04,2026-03-12,58.72727272727273,12.900317120837837,42.0,79.0,56.75,13.002746962524057,64.0,13.527749258468683,8.0,2.0,1,9
A3,13,11,2,2024-05-29,2026-04-05,56.333333333333336,12.564982605590343,35.0,75.0,55.6,13.688600285557973,60.0,4.242640687119285,4.0,8.23,1,6
A4,13,13,0,2024-05-28,2026-03-12,54.416666666666664,9.976867183032896,33.0,67.0,54.416666666666664,9.976867183032896,60.0,10.0,4.0,0.85,1,2
A5,13,12,1,2024-05-19,2026-04-03,57.0,12.742199039555,35.0,79.0,56.27272727272727,13.100312279414632,65.0,10.0,2.0,6.38,1,3
A6,12,10,2,2024-06-06,2026-03-25,59.72727272727273,14.643025022794362,38.0,82.0,59.55555555555556,15.500896031448562,60.5,14.849242404917497,2.0,8.0,2,5
A7,13,11,2,2024-05-18,2026-03-25,56.333333333333336,13.660382886510195,35.0,82.0,57.7,14.667045449654207,49.5,2.1213203435596424,5.0,2.69,2,8
A8,13,13,0,2024-06-02,2026-03-31,55.583333333333336,12.369010641212345,41.0,82.0,55.583333333333336,12.369010641212345,60.0,10.0,4.0,2.69,2,4
A9,13,11,2,2024-05-30,2026-04-01,55.916666666666664,10.552538112040184,37.0,74.0,57.7,9.626929820964614,47.0,14.142135623730951,6.0,2.69,1,6
A10,13,10,3,2024-05-25,2026-03-26,55.833333333333336,12.719586423617663,37.0,75.0,55.77777777777778,14.27215626471503,56.0,8.660254037844387,3.0,4.54,1,9
